Tu_vung,So_lan,Tan_so
software,4,2.19
system,8,4.37
test,18,9.84
questions,11,6.01
minutes,6,3.28
parts,3,1.64
directions,5,2.73
part,6,3.28
time,10,5.46
answer,9,4.92
sheet,4,2.19
word,6,3.28
sentences,3,1.64
mark,3,1.64
letter,7,3.83
city,6,3.28
council,3,1.64
years,11,6.01
president,8,4.37
employees,8,4.37
offices,3,1.64
headquarters,3,1.64
building,3,1.64
increase,5,2.73
project,3,1.64
plans,3,1.64
materials,5,2.73
design,10,5.46
service,7,3.83
services,3,1.64
product,9,4.92
work,7,3.83
visitors,3,1.64
firm,3,1.64
name,5,2.73
products,13,7.1
date,9,4.92
fee,3,1.64
staff,3,1.64
members,3,1.64
customer,4,2.19
page,13,7.1
press,8,4.37
travel,3,1.64
company,7,3.83
information,7,3.83
agreement,9,4.92
article,6,3.28
science,3,1.64
offers,4,2.19
development,3,1.64
year,4,2.19
manufacturer,4,2.19
director,10,5.46
position,4,2.19
location,9,4.92
collection,4,2.19
ones,3,1.64
restaurant,3,1.64
park,5,2.73
dress,3,1.64
times,3,1.64
marketing,11,6.01
l,5,2.73
reputation,3,1.64
executive,7,3.83
program,3,1.64
market,4,2.19
area,4,2.19
order,8,4.37
style,4,2.19
end,3,1.64
day,3,1.64
today,6,3.28
week,7,3.83
office,4,2.19
relations,3,1.64
paper,3,1.64
herald,3,1.64
brisbane,3,1.64
change,4,2.19
month,3,1.64
costs,3,1.64
department,8,4.37
elegance,4,2.19
hotel,4,2.19
guest,4,2.19
survey,4,2.19
june,3,1.64
thank,3,1.64
visit,7,3.83
experience,4,2.19
access,5,2.73
division,5,2.73
fiction,5,2.73
industry,5,2.73
business,8,4.37
society,10,5.46
marino,3,1.64
hour,3,1.64
companies,5,2.73
gardens,5,2.73
friday,3,1.64
april,6,3.28
owner,3,1.64
residents,5,2.73
marlowe,3,1.64
please,4,2.19
purchase,4,2.19
sports,3,1.64
store,4,2.19
avenue,3,1.64
street,9,4.92
construction,4,2.19
room,3,1.64
number,7,3.83
schedule,7,3.83
hours,5,2.73
december,8,4.37
accounting,3,1.64
manor,4,2.19
apartment,6,3.28
units,3,1.64
site,7,3.83
zoo,8,4.37
enclosure,3,1.64
security,3,1.64
departure,5,2.73
flights,9,4.92
reservation,3,1.64
line,4,2.19
hochstein,5,2.73
barrault,6,3.28
bondy,4,2.19
fashion,4,2.19
hullot,3,1.64
winter,3,1.64
release,7,3.83
crockett,3,1.64
center,5,2.73
community,5,2.73
harvest,5,2.73
shaw,4,2.19
meeting,3,1.64
gardening,10,5.46
classes,4,2.19
representatives,3,1.64
proposal,3,1.64
school,4,2.19
students,3,1.64
schools,3,1.64
organizations,3,1.64
job,9,4.92
candidate,3,1.64
team,5,2.73
application,3,1.64
recall,4,2.19
cycle,6,3.28
vista,5,2.73
batch,5,2.73
tires,4,2.19
bicycles,3,1.64
dealer,4,2.19
locations,3,1.64
customers,4,2.19
warranty,3,1.64
repair,3,1.64
cinema,4,2.19
croton,4,2.19
theater,3,1.64
film,4,2.19
films,3,1.64
jack,4,2.19
dodge,4,2.19
dust,3,1.64
horizon,3,1.64
home,13,7.1
finland,3,1.64
terhi,6,3.28
stores,4,2.19
jaakkola,3,1.64
munsan,4,2.19
brand,3,1.64
